项目名称,负责人,依托单位,成果标题,成果类型,成果作者
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,刘永杰,四川大学,33.一种统一试样尺寸的超声疲劳应力放大装置,类型：专利,作者：何超;王清远;王宠;刘永杰;李雪;李浪;张宏
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,刘永杰,四川大学,34.Heterogeneous microstructure and associated mechanical properties of thick electron beam welded Ti-5Al-2Sn-2Zr-4Mo-4Cr alloy joint,类型：期刊论文,作者：Liu HQ;Song J;Wang HM;Du YH;Yang K;Liu YJ;Wang QY;Chen Q
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,刘永杰,四川大学,35.Very long life fatigue failure mechanism of electron beam welded joint for titanium alloy at elevated temperature,类型：期刊论文,作者：Liu FL;Chen Y;He C;Wang C;Li L;Liu YJ;Wang QY
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,刘永杰,四川大学,36.Effect of texture and banded structure on the crack initiation mechanism of a friction stir welded magnesium alloy joint in very high cycle fatigue regime,类型：期刊论文,作者：Chen Yao;Zhang Ruofan;He Chao;Liu Fulin;Yang Kun;Wang Chong;Wang Qingyuan;Liu Yongjie
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,刘永杰,四川大学,"37.A creep damage model for low cycle fatigue based on the equivalent creep stress: Establishment, verification and application",类型：期刊论文,作者：Li HZ;Chen H;Xu LY;Wang QY;Liu YJ;Chen Y;Li L;Zhang H;He C
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,刘永杰,四川大学,38.Influence of the volume content of alpha plus beta colonies on the very high cycle fatigue behavior of a titanium alloy,类型：期刊论文,作者：Yang K;Huang Q;Zhong B;Liu YJ;He C;Liu HQ;Su N;Wang QY;Chen Q
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,刘永杰,四川大学,39.Tensile and fatigue behavior of electron beam welded TC17 titanium alloy joint,类型：期刊论文,作者：Liu Hanqing;Wang Haomin;Zhang Zhen;Liu Yongjie;Huang Zhiyong;Wang Qingyuan;Chen Qiang
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,刘永杰,四川大学,40.Effect of microstructure inhomogeneity and crack initiation environment on the very high cycle fatigue behavior of a magnesium alloy,类型：期刊论文,作者：Chen Yao;He Chao;Liu Fulin;Wang Chong;Xie Qing;Wang Qingyuan;Liu Yongjie
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,刘永杰,四川大学,41.基于晶体塑性焊接工艺模型的损伤与疲劳寿命评估方法,类型：专利,作者：张宏;王清远;刘永杰;王宠;李浪
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,刘永杰,四川大学,"42.Comparison in Deformation Behavior, Microstructure, and Failure Mechanism of Nickel Base Alloy 625 under Two Strain Rates",类型：期刊论文,作者：Liu M;Wang QY;Cai YF;Lu D;Wang TJ;Pei YB;Zhang H W;Liu YJ;ang QY
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,刘永杰,四川大学,43.Effect of microstructure on small fatigue crack initiation and early propagation behavior in Mg-10Gd-3Y-0.3Zr alloy,类型：期刊论文,作者：He Chao;Wu Yujuan;Peng Liming;Su Ning;Chen Qiang;Yuan Shucheng;Liu Yongjie;Wang Qingyuan
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,刘永杰,四川大学,44.Cyclic responses and microstructure sensitivity of Cr-based turbine steel under different strain ratios in low cycle fatigue regime,类型：期刊论文,作者：Gong XF;Wang TJ;Li QS;Liu YJ;Zhang H;Zhang W;Wang QY;Wang QY
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,1.The Chengdu Carrying Capacity of Water Resources Status Evaluation Based on the Variable Sets,类型：会议论文,作者：Xue Zhichun;You Jinjun;Yang Zhaohui
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,2.一种基于粒子群算法水库多目标供水能力优化方法,类型：专利,作者：林鹏飞;游进军;贾玲;蒋云钟;方国华;汪林;薛志春;付敏;刘鼎;闫腾;姚懿真
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,3.一种用于检测河道防汛水位的监测预警系统,类型：专利,作者：薛志春;邸苏闯;潘兴瑶;刘洪禄;李永坤;张书函;王丽晶;张岑;周星;卢亚静;于磊;邱颖;杨思敏;赵曦月
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,4.一种基于二层结构的流域生态调度方法,类型：专利,作者：游进军;薛志春;林鹏飞;牛存稳;魏娜;贺华翔;马真臻;杨朝晖;王婷
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,5.Research on Evaluation Method and Application of Water-saving Society Building Based on Chen Shouyu Fuzzy Set,类型：会议论文,作者：Xue ZhiChun;You JinJun;Qin Changhai;Jiang Yunzhong
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,6.水量分配方案组织实施评价指标体系研究,类型：期刊论文,作者：宋秋波;丁菊莺;游进军;高青峰
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,7.跨流域调水工程水量配置与调度耦合方法研究,类型：期刊论文,作者：游进军;林鹏飞;王静;刘鼎;罗琳
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,8.一种跨流域调水工程的配置调度方法及装置,类型：专利,作者：游进军;贾玲;林鹏飞;薛志春
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,9.一种用于城市道路的分布式排水装置,类型：专利,作者：薛志春;邸苏闯;潘兴瑶;刘洪禄;李永坤;张书函;于磊;卢亚静;杨思敏;赵飞;张岑;王丽晶;周星;孙冉
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,10.分布式堤防安全监测系统,类型：专利,作者：薛志春;邸苏闯;潘兴瑶;刘洪禄;李永坤;张书函;孙冉;邱颖;张岑;卢亚静;王丽晶;赵飞
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,11.一种用于雨水箅子的防溢流装置,类型：专利,作者：薛志春;邸苏闯;潘兴瑶;刘洪禄;李永坤;张岑;邱颖;于磊;张书函;周星;张冠宇;赵羲月
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,12.基于生态系统服务的水生态资产负债表研究,类型：期刊论文,作者：刘彬;甘泓;贾玲;闫志宏
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,13.水库汛限水位实时动态控制方案优选研究,类型：期刊论文,作者：张艳平;张双虎;周惠成;王海军
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,14.基于可变集理论的流域防洪风险评价,类型：期刊论文,作者：薛志春;游进军;蒋云钟
基于集合降雨预报和可变模糊集的洪水预报方法研究,薛志春,北京市水科学技术研究院,15.一种用于河道建筑物的鱼嘴型防洪装置,类型：专利,作者：薛志春;邸苏闯;潘兴瑶;刘洪禄;李永坤;于磊;邱颖;杨思敏;赵飞;王丽晶;卢亚静;周星;张岑;张冠宇
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,1.Operational Stability of a Hydropower Plant With a Pipe-Shaped Air-Cushion Surge Chamber,类型：期刊论文,作者：Tingyu Xu;Jian Zhang;Sheng Chen;Wei He;Xiaodong Yu;David Z. Zhu
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,2.Multi-objective intelligent start-up strategy for small hydropower plants based on adaptive variable parameters of water head,类型：期刊论文,作者：Wang Xingtao;Zhang Jian;Yu Xiaodong;Lv Jiawen;Zhang Xiaoying
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,3.大水头变幅长引水系统水电站甩负荷导叶三段关闭规律,类型：期刊论文,作者：王晶;陈胜;李向菊;杨森;张健
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,4.Analysis of Anomalies in Water Hammer Experiments With Partially Open Valves,类型：期刊论文,作者：Tingyu Xu;Lei Zhang;Weixiang Ni;Xiaoying Zhang;Xiaodong Yu;Jian Zhang
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,5.Study on impedance size optimization of a one-way surge tank in a long-distance water supply system,类型：期刊论文,作者：Chen Xuyun;Zhang Jian;Yu Xiaodong;Chen Sheng;Shi Lin
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,6.双滑道旋流式侧壁消能竖井,类型：专利,作者：王希晨;张健;俞晓东;陈胜
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,7.尾水主洞长度对抽水蓄能电站尾水管进口最小压力的影响,类型：期刊论文,作者：王靖雯;张健;蔡朝;陈胜;刘芸
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,8.高水头抽水蓄能电站输水系统上平段末最小压力的影响因素研究,类型：期刊论文,作者：宫亚茹;张健;蔡朝;杨森;陈胜
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,9.Transient behavior of two-stage load rejection for multiple units system in pumped storage plants,类型：期刊论文,作者：Chen Sheng;Wang Jing;Zhang Jian;Yu Xiaodong;He Wei
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,10.一种确定低扬程加压系统停泵事故泵后阀门关闭规律的方法,类型：专利,作者：陈胜;张健;范呈昱;许听雨;俞晓东;张磊
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,11.直流式竖井结构卷吸气量及管内气压的计算方法,类型：专利,作者：魏佳芳;张健;俞晓东;陈胜
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,12.含长连接管的调压室流量系数改进研究,类型：期刊论文,作者：徐敏杰;陈胜;蔡朝;杨森;胡超;陈乾元
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,13.Optimal volume selection of air vessels in long-distance water supply systems,类型：期刊论文,作者：Lin Shi;Jian Zhang;Xiaodong Yu;Xingtao Wang;Chen Xuyun;Zhe-xin Zhang
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,14.一种确定低扬程输水系统停泵事故泵后阀门关闭规律的方法,类型：专利,作者：陈胜;张健;范呈昱;许听雨;俞晓东;张磊
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,15.可变速抽蓄机组运行转速对甩负荷过渡过程的影响,类型：期刊论文,作者：张文科;张健;俞晓东;陈胜
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,16.Formula for determining the size of the air tank in the long-distance water supply system,类型：期刊论文,作者：Chen Xuyun;Jian Zhang;Li Nan;Xiaodong Yu;Zhinong Wei;Lin Shi
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,17.一种改变城市深隧滞留气团排出位置及时间的结构,类型：专利,作者：俞晓东;营佳玮;张健;陈胜;郑雪莲
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,18.Hydrodynamic characteristics of lateral withdrawal with effects of the slope ratio,类型：期刊论文,作者：Wen-long Zhao;Jian Zhang;Wei He;Tian-xiang Zhang;Shan Wang;Lin Shi
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,19.混合式抽水蓄能电站过渡过程研究,类型：期刊论文,作者：郑雪莲;张健;葛佩明;常贵宾;陈胜
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,20.一种确定高扬程输水系统停泵事故泵后阀门关闭规律的方法,类型：专利,作者：范呈昱;张健;许听雨;张磊;俞晓东;陈胜
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,21.一种解决高扬程输水系统正压过大的阀门操作方法,类型：专利,作者：石林;张健;刘芳;俞晓东;王兴涛;赵文龙
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,22.设置尾水连通管的抽水蓄能电站引水发电系统小波动稳定分析,类型：期刊论文,作者：杨秀维;俞晓东;张磊;张健
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,23.一种岩塞爆破水气过渡过程水力特性的计算方法,类型：专利,作者：陈胜;张健;张小莹;俞晓东;王晶;陈雪
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,24.Hydraulic Disturbance in Multiturbine Hydraulically Coupled Systems of Hydropower Plants Caused by Load Variation,类型：期刊论文,作者：Xiaodong Yu;Qing Zhou;Lei Zhang;Jian Zhang
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,25.Stability analysis of hydro-turbine governing system including surge tanks under interconnected operation during small load disturbance,类型：期刊论文,作者：Yu Xiaodong;Yang Xiuwei;Zhang Jian
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,26.Multiobjective optimization of a tubular pump to improve the applicable operating head and hydraulic performance,类型：期刊论文,作者：Wenlong Zhao;Jian Zhang;Xiaodong Yu;Daqing Zhou;Melih Calamak
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,27.水泵水轮机反S特性对甩负荷过程压强的影响,类型：期刊论文,作者：陈龙;俞晓东;李高会;章梦捷;陈胜;张健
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,28.Mechanism and quantified criteria of stability characteristics of hydropower plants with surge tanks during regulation,类型：期刊论文,作者：Yu Xiaodong;Yang Xiuwei;Liu Zhe;Zhang Jian
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,29.考虑长引水隧洞摩阻的水锤解析法,类型：期刊论文,作者：张健;杨森;俞晓东;陈胜
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,30.A combined water hammer protective method for optimizing the volume of the air vessel in water supply systems,类型：期刊论文,作者：Lyu Jiawen;Zhang Jian;Wang Xingtao;Xu Tingyu
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,31.Formula for selecting optimal location of air vessel in long-distance pumping systems,类型：期刊论文,作者：Xingtao Wang;Jian Zhang;Xiaodong Yu;Lin Shi;Wenlong Zhao;Hui Xu
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,32.Water hammer protective performance of a spherical air vessel caused by a pump trip,类型：期刊论文,作者：Lin Shi;Jian Zhang;Xiaodong Yu;Zhinong Wei
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,33.大进气条件下真空破坏阀的模型计算方法,类型：专利,作者：张健;张小莹;范呈昱;俞晓东;陈胜;陈旭云;倪尉翔
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,34.机组导叶关闭规律对相继甩工况的影响,类型：期刊论文,作者：储善鹏;张健;陈胜;俞晓东
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,35.Transient Simulation for a Pumped Storage Power Plant Considering Pressure Pulsation Based on Field Test,类型：期刊论文,作者：Lei Zhang;Jian Zhang;Xiaodong Yu;Jiawen Lyu;Xiaoying Zhang
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,36.消能箱,类型：专利,作者：刘芳;俞晓东;张健;陈胜;倪尉祥;蒋捷
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,37.Surge wave characteristics for hydropower plant with upstream double surge tanks connected in series under small load disturbance,类型：期刊论文,作者：Yi Liu;Jian Zhang;Zhe Liu;Long Chen;Xiaodong Yu
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,38.一种基于曲柄连杆传力的竖井消能及储能装置,类型：专利,作者：俞晓东;杨秀维;张健;陈胜;汤盼鑫
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,39.Effect of the nonlinearity of head loss on stability and dynamic performance for hydropower plant with surge tank during small load disturbance,类型：期刊论文,作者：Yi Liu;Jian Zhang;Zhe Liu;Qinyi Wang;Xiaodong Yu
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,40.降低吸入气体量的直流式跌水结构,类型：专利,作者：魏佳芳;张健;俞晓东;陈胜
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,41.用于缓解深隧滞留气团排出的管道与入流竖井衔接结构,类型：专利,作者：营佳玮;俞晓东;张健;陈胜;许听雨
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,42.基于同伦函数的水电站小波动特征值研究,类型：期刊论文,作者：俞晓东;杨秀维;张健
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,43.Effect of multi-valve closure on superposed pressure in a tree-type long distance gravitational water supply system,类型：期刊论文,作者：Xingtao Wang;Jian Zhang;Xiaodong Yu;Zhinong Wei;Wenlong Zhao;Hui Xu
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,44.气垫式水下岩塞爆破过渡过程水力特性研究,类型：期刊论文,作者：陈胜;徐敏杰;孙金辉;张健
准静态边界条件对输水系统水锤压力的影响研究,张健,河海大学,45.考虑接力器特性的导叶关闭规律,类型：期刊论文,作者：徐敏杰;陈胜;杨森;张健;王晶
梯形琴键堰泄流能力影响因素及其敏感性研究,胡晗,长江水利委员会长江科学院,1.窄缝消能工冲击波及水翅特性研究,类型：期刊论文,作者：胡晗;杨伟;黄国兵;侯冬梅;杜兰
梯形琴键堰泄流能力影响因素及其敏感性研究,胡晗,长江水利委员会长江科学院,2.Numerical study of characteristics and discharge capacity of piano key weirs,类型：期刊论文,作者：Hu Han;Qian Zhongdong;Yang Wei;Hou Dongmei;Du Lan
梯形琴键堰泄流能力影响因素及其敏感性研究,胡晗,长江水利委员会长江科学院,3.分散式挑流消能工冲坑深度的预测方法,类型：专利,作者：胡晗
梯形琴键堰泄流能力影响因素及其敏感性研究,胡晗,长江水利委员会长江科学院,4.琴键堰水力特性数值模拟,类型：期刊论文,作者：胡晗;杨伟;侯冬梅
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,1.前坪水库安全风险与成本风险协同控制技术,类型：奖励,作者：张兆省;李宗坤;皇甫泽华;葛巍;林军亮;郭新燕;田毅博;佟壮壮;杜慧娟;吴溪;姬艳婷;宗克强;张赛;陈彩虹;郭慧娟
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,2.Economic risk criteria for dams considering the relative level of economy and industrial economic contribution,类型：期刊论文,作者：Ge Wei;Sun Heqiang;Zhang Hexiang;Li Zongkun;Guo Xinyan;Wang Xiuwei;Qin Yupan;Gao Weixing;Pieter van Gelder
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,3.基于集对分析-可变模糊集耦合方法的溃坝环境影响评价,类型：期刊论文,作者：李宗坤;李巍;葛巍;徐宏殷
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,4.改进的集对分析法在溃坝社会影响评价中的应用,类型：期刊论文,作者：葛巍;李宗坤;李娟娟;张青玉
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,5.Interval analysis of loss of life caused by dam failure,类型：期刊论文,作者：Ge Wei;Wang Xiuwei;Li Zongkun;Zhang Hexiang;Guo Xinyan;Wang Te;Gao Weixing;Lin Chaoning;Pieter van Gelder
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,6.基于模糊集理论的土石坝开裂破坏风险分析,类型：期刊论文,作者：李宗坤;宋子元;葛巍;王特;张兆省
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,7.基于广义集对分析法的溃坝环境影响评价,类型：期刊论文,作者：李宗坤;李娟娟;葛巍;李巍
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,8.一种便捷的堤坝临水侧渗漏定位装置,类型：专利,作者：李宗坤;莫向明;施雯珂;葛巍;张亚东
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,9.基于未确知集对联系数法的溃坝社会影响评价,类型：期刊论文,作者：李宗坤;姬艳婷;张兆省;葛巍
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,10.一种水利工程水闸结构,类型：专利,作者：葛巍;李宗坤;张兆省;皇甫泽华;程荣川
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,"11.Methodology for Establishing Risk Criteria for Dams in Developing Countries, Case Study of China",类型：期刊论文,作者：Ge Wei;Li Zongkun;Liang Robert Y;Li Wei;Cai Yingchun
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,12.溃坝风险后果研究现状与发展趋势,类型：期刊论文,作者：葛巍;焦余铁;李宗坤;张兆省;郭新燕
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,13.土石坝施工期安全风险—成本风险综合评价,类型：期刊论文,作者：李宗坤;宗克强;张兆省;皇甫泽华
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,14.基于改进可变模糊集法的溃坝生命损失评价及其应用,类型：期刊论文,作者：李巍;李宗坤;葛巍;郭新燕
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,15.Impact evaluation of geomorphic changes caused by extreme floods on inundation area considering geomorphic variations and land use types,类型：期刊论文,作者：Li Zongkun;Zhang Yadong;Wang Jianyou;Ge Wei;Li Wei;Song Haojing;Guo Xinyan;Wang Te;Jiao Yutie
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,16.Risk evaluation of dam-break environmental impacts based on the set pair analysis and cloud model,类型：期刊论文,作者：Ge Wei;Li Zongkun;Li Wei;Wu Meimei;Li Juanjuan;Pan Yipeng
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,17.An innovative methodology for establishing societal life risk criteria for dams: A case study to reservoir dam failure events in China,类型：期刊论文,作者：Ge Wei;Qin Yupan;Li Zongkun;Zhang Hexiang;Gao Weixing;Guo Xinyan;Song Ziyuan;Li Wei;Pieter van Gelder
中国水库大坝风险后果分析模型研究,李宗坤,郑州大学,18.Weight analysis of influencing factors of dam break risk consequences,类型：期刊论文,作者：Li Zongkun;Li Wei;Ge Wei
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,"1.A enhanced interaction framework based on VR, AR and MR in digital twin",类型：会议论文,作者：S Ke;F Xiang;Z Zhang;Y Zuo
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,2.一种基于自更新模型的流程型生产设备产品质量预测方法,类型：专利,作者：左颖;柯超凡;张萌;陶飞
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,3.一种数字孪生驱动的数控机床刀具监控系统,类型：专利,作者：陶飞;汪轶群;王雨澄;左颖;邹孝付
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,4.An improved electromagnetism-like mechanism algorithm for energy-aware many-objective flexible job shop scheduling,类型：期刊论文,作者：M Qu;Y Zuo;F Xiang;F Tao
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,5.A Digital Twin Driven Perception Method of Manufacturing Service Correlation Based on Frequent Itemsets,类型：期刊论文,作者：F Xiang;J Fan;X Zhang;Y Zuo;S Liu
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,6.一种数字孪生系统复杂任务可配置高效求解方法和系统,类型：专利,作者：陶飞;邹孝付;左颖
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,7.Digital twin driven green material optimal-selection towards sustainable manufacturing,类型：会议论文,作者：F Xiang;Z Zhang;Y Zuo;F Tao
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,8.一种数字孪生驱动的复杂装备故障预测方法,类型：专利,作者：陶飞;王雨澄;左颖;黄巍
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,9.一种数字孪生驱动的热压罐管控系统,类型：专利,作者：陶飞;王雨澄;左颖
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,10.基于改进类电磁机制算法的绿色柔性作业车间调度方法,类型：专利,作者：左颖;曲明昊;陶飞
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,11.一种适于制造过程规划的智能优化算法推荐方法,类型：专利,作者：左颖;任天翔;王钰淇;乔运华;孙嘉玉;邹孝付;陶飞
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,12.An evolutionary algorithm recommendation method with a case study in flow shop scheduling,类型：期刊论文,作者：Y Zuo;Y Wang;Y Laili;T.W Liao;F Tao
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,13.面向复杂数控装备的监测评估关键技术及标准体系,类型：奖励,作者：陶飞;黄祖广;于东;胡天亮;赵钦志;邹孝付;左颖;李建双;杨堂勇;郑小年
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,14.Digital twin enhanced human-machine interaction in product lifecycle,类型：会议论文,作者：X Ma;F Tao;M Zhang;T Wang;Y Zuo
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,15.一种基于数字孪生的车间调度方法,类型：专利,作者：陶飞;张萌;左颖
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,16.Digital twin enhanced fault prediction for the autoclave with insufficient data,类型：期刊论文,作者：Y Wang;F Tao;M Zhang;L Wang;Y Zuo
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,17.面向工业互联网的制造服务协作等级协议轻量级框架研究,类型：期刊论文,作者：蔡金莹;向峰;左颖;钟雷;周平
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,18.一种基于机器视觉的数字孪生模型修正方法与系统,类型：专利,作者：刘蔚然;陶飞;程江峰;左颖
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,19.A multi-scale modeling method for digital twin shop-floor,类型：期刊论文,作者：H Zhang;Q Qi;F Tao
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,左颖,北京航空航天大学,20.Long/Short-Term Utility Aware Optimal Selection of Manufacturing Service Composition Toward Industrial Internet Platforms,类型：期刊论文,作者：Y Zhang;F Tao;Y Liu;P Zhang;Y Cheng;Y Zuo
稀疏设计空间压缩原理与演进式设计智能创成方法研究,田凌,清华大学,1.Concept Clustering in Design Teams: A Comparison of Human and Machine Clustering,类型：期刊论文,作者：Zhang Chengwei;Kwon Youngwook Paul;Kramer Julia;Kim Euiyoung;Agogino Alice M
稀疏设计空间压缩原理与演进式设计智能创成方法研究,田凌,清华大学,2.Integrated Modeling of Multi-Type Blocks Storage Yards In Shipyard for Logistics Analysis,类型：会议论文,作者：Junyu Chen;Ling Tian
稀疏设计空间压缩原理与演进式设计智能创成方法研究,田凌,清华大学,3.基于图数据库的机械产品数字孪生模型分层建模方法,类型：专利,作者：田凌;郑孟蕾;代菁洲;刘思超
稀疏设计空间压缩原理与演进式设计智能创成方法研究,田凌,清华大学,4.一种基于接触加热的弯曲钞票展平装置,类型：专利,作者：田凌;陈俊宇;张承巍;刘果
稀疏设计空间压缩原理与演进式设计智能创成方法研究,田凌,清华大学,5.CoStorm: a term map system to aid in a collaborative ideation process,类型：期刊论文,作者：Zhang Chengwei;Lopez Parra Marcelo;Chen Junyu;Tian Ling
稀疏设计空间压缩原理与演进式设计智能创成方法研究,田凌,清华大学,6.Deep Learning for Design in Concept Clustering,类型：会议论文,作者：Chengwei Zhang;Youngwook Paul Kwon;Julia Kramer;Euiyoung Kim;Alice M.Agogino
稀疏设计空间压缩原理与演进式设计智能创成方法研究,田凌,清华大学,7.一种基于红外加热的弯曲钞票展平装置,类型：专利,作者：田凌;刘果;张承巍;陈俊宇
稀疏设计空间压缩原理与演进式设计智能创成方法研究,田凌,清华大学,8.面向模型重用的仿真云服务平台设计与实现,类型：期刊论文,作者：赵继丛;黄利平;陈俊宇;田凌
稀疏设计空间压缩原理与演进式设计智能创成方法研究,田凌,清华大学,9.基于知识工程的船体焊接工艺研究,类型：期刊论文,作者：马国辉;田凌;刘思超;陈俊宇
