标题,g_li1,g_cont_left,g_cont_left4,g_cont_left5
"
							1053.用于手机的应用软件界面",外观设计 ,申请(专利权)人： 北京嘀嘀无限科技发展有限公司 ,分类号： 14-03(10);14-04(10) ,简要说明：1、本外观设计产品的名称：用于手机的应用软件界面。2、本外观设计产品的用途：用于运行程序及通讯。3、本外观设计的设计要点：在于业务相关设置选项信息的表现形式。4、界面用途：设计1至设计3的主视图均为打车软件确认叫车的界面，其中设计1主视图的上部区域为业务选项信息展示区域，界面中部灰色区域为业务相关信息展示区域，界面底部设有业务相关选项设置区域，该区域呈现有叫车时间选项、加调度费选项、捎话选项、打表来接选项、操作按钮，点击捎话选项，界面跳转至捎话选项的设置界面，即设计1界面变化状态图所呈现；该界面上部呈现有要求设置选项，界面下部捎话内容快捷选项和手动输入捎话信息的输入框，且已选中的捎话内容快捷选项高亮显示；设计2主视图和设计3主视图界面底部分别呈现出不同业务的设置选项信息，具体为，设计2主视图界面底部呈现有叫车形式选项、乘车人设置选项、车型设置选项、业务相关信息、操作按钮，点击车型设置选项，界面下方跳转出呈现有车型信息列表的浮层，即设计2界面变化状态图所呈现；设计3主视图界面底部呈现有业务类型选项、乘车人信息选项、业务相关信息、操作按钮，点击乘车人信息选项，界面跳转更换乘车人的界面，即设计3界面变化状态图所呈现；该界面上部区域为乘车人信息输入栏展示区域，界面下部区域为历史乘车人信息展示区域；设计1使用状态参考图1、设计1使用状态参考图2、设计2使用状态参考图、设计3使用状态参考图分别为设计1主视图、设计1界面变化状态图、设计2主视图、设计3主视图添加相应的业务信息后所呈现的示意界面，均为示例。5、指定一幅最能表明设计要点的图片或照片：设计1主视图。6、本外观设计2和设计3的后视图、左视图、右视图、俯视图、仰视图与设计1的后视图、左视图、右视图、俯视图、仰视图相同，故省略设计2和设计3的后视图、左视图、右视图、俯视图、仰视图。7、本外观设计指定设计1为基本设计。
"
							1054.用于手机的应用软件界面",外观设计 ,申请(专利权)人： 北京嘀嘀无限科技发展有限公司 ,分类号： 14-03(10);14-04(10) ,简要说明：1、本外观设计产品的名称：用于手机的应用软件界面。2、本外观设计产品的用途：用于运行程序及通讯。3、本外观设计的设计要点：在于可定位详细的地址信息。4、界面用途：主视图中所呈现的界面为应用软件首页界面，该界面顶部为导航栏展示区域，界面中部灰色区域为业务相关信息展示区域，界面底部设有起点信息和终点信息输入框，点击起点信息或终点信息输入框，界面顶部导航栏隐藏，界面顶部呈现出地址输入栏，输入栏下侧呈现出地址信息下拉列表，列表中呈现出与输入的关键词相匹配的地址信息，列表中与输入的关键词想匹配的大概地址信息下侧呈现有与其相对应的所有详细地址信息，即界面变化状态图1所呈现；用户选中详细的地址信息，可更明确的表达出当前所在的位置或目的地位置，提高接驾效率，选中某一详细的地址信息，界面跳转回首页界面，即界面变化状态图2所呈现；主视图、界面变化状态图1、界面变化状态图2导航栏中的出行方式选项信息和地址信息均为示例；使用状态参考图1至使用状态参考图3分别为主视图、界面变化状态图1、界面变化状态图2添加相应的业务信息后所呈现的示意界面。5、指定一幅最能表明设计要点的图片或照片：界面变化状态图1。
"
							1055.数据线接口模块承座",外观设计 ,申请(专利权)人： 惠州华讯电子有限公司 ,分类号： 14-99(10) ,简要说明：1．本外观设计产品的名称：数据线接口模块承座。2．本外观设计产品的用途：本外观设计产品作为数据线接口模块承座使用，用于连接数据线。3．本外观设计产品的设计要点：在于图中所示的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1056.夹层卡（MEZZ卡）",外观设计 ,申请(专利权)人： 曙光信息产业股份有限公司 ,分类号： 14-99(10) ,简要说明：1．本外观设计产品的名称：夹层卡（MEZZ卡）。2．本外观设计产品的用途：本外观设计产品用于在刀片服务器中提供数据流量的接入、转发以及输出。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图1。5．省略视图：后视图、俯视图、仰视图、左视图和右视图。
"
							1057.柴油机气缸盖罩保护罩",外观设计 ,申请(专利权)人： 常柴股份有限公司 ,分类号： 15-01(10) ,简要说明：1．本外观设计产品的名称：柴油机气缸盖罩保护罩。2．本外观设计产品的用途：本外观设计产品用于在柴油机运输过程中保护气缸盖罩及气缸盖附件。3．本外观设计产品的设计要点：本产品整体及局部形状的结合。4．最能表明本外观设计设计要点的图片或照片：立体图1。
"
							1058.发动机",外观设计 ,申请(专利权)人： 重庆宗申发动机制造有限公司 ,分类号： 15-01(10) ,简要说明：1．本外观设计产品的名称：发动机。2．本外观设计产品的用途：本外观设计产品用于发动机。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1059.闭式叶轮",外观设计 ,申请(专利权)人： 宜兴市宙斯泵业有限公司 ,分类号： 15-02(10) ,简要说明：1．本外观设计产品的名称：闭式叶轮。2．本外观设计产品的用途：本外观设计产品用于叶轮旋转，靠离心力输送液体。3．本外观设计产品的设计要点：产品形状。4．最能表明本外观设计设计要点的图片或照片：设计1立体图。5.本外观设计专利申请包含同一产品的多项相似外观设计，设计1为基本设计。
"
							1060.空调压缩机罩",外观设计 ,申请(专利权)人： 青岛海尔空调电子有限公司 ,分类号： 15-02(10) ,简要说明：1．本外观设计产品的名称：空调压缩机罩。2．本外观设计产品的用途：本外观设计产品作为室外的空调压缩机罩使用。3．本外观设计产品的设计要点：体现在整体造型。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							1061.冰柜（4）",外观设计 ,申请(专利权)人： 山东便利客智能科技有限公司 ,分类号： 15-07(10) ,简要说明：1．本外观设计产品的名称：冰柜（4）。2．本外观设计产品的用途：本外观设计产品用于冷冻、冷藏或保鲜物品；本外观设计的冰柜内包括多个格子柜，将冰柜分成多个区域，用于分别放置各种物品；本外观设计的冰柜还能够用于自助售卖，格子柜上放置待售商品，用户自助支付（如微信支付等）后，可以取走相应格子柜内的商品；本外观设计产品的冰柜最上方的一块空白区域为广告位，可以设置广告牌或展示牌，右侧上方的部分为屏幕。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1062.机器人配件（六关节）",外观设计 ,申请(专利权)人： 江苏昌弘机器人科技有限公司 ,分类号： 15-99(11) ,简要说明：1．本外观设计产品的名称：机器人配件（六关节）。2．本外观设计产品的用途：本外观设计产品主要用于机器人组装配件。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1063.防爆数码相机",外观设计 ,申请(专利权)人： 丁国军 ,分类号： 16-01(10) ,简要说明：1．本外观设计产品的名称：防爆数码相机；2．本外观设计产品的用途：用于拍摄照片或视频，特别用于在特殊场合（易燃易爆场合）拍摄照片或视频；3．本外观设计产品的设计要点：产品的形状；4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							1064.太阳镜",外观设计 ,申请(专利权)人： 安徽工程大学机电学院 ,分类号： 16-06(10) ,简要说明：1．本外观设计产品的名称：太阳镜。2．本外观设计产品的用途：本外观设计产品用于遮挡阳光。3．本外观设计产品的设计要点：在于本产品整体及局部形状的结合。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1065.双筒望眼镜(UW035)",外观设计 ,申请(专利权)人： 余燕霞 ,分类号： 16-06(11) ,简要说明：1．本外观设计产品的名称：双筒望眼镜(UW035)。2．本外观设计产品的用途：本外观设计产品用于观看远距离处的事物时使用。3．本外观设计产品的设计要点：形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1066.吉他背带",外观设计 ,申请(专利权)人： 广州市恒胜箱包有限公司 ,分类号： 17-03(10) ,简要说明：1．本外观设计产品的名称：吉他背带。2．本外观设计产品的用途：本外观设计产品用于挎背吉他。3．本外观设计产品的设计要点：本产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图1。5．省略视图：省略其他视图。
"
							1067.书盒（书筑）",外观设计 ,申请(专利权)人： 北京雅昌艺术印刷有限公司;雅昌文化（集团）有限公司;上海雅昌艺术印刷有限公司 ,分类号： 19-02(10) ,简要说明：1．本外观设计产品的名称：书盒（书筑）。2．本外观设计产品的用途：本外观设计产品用于书籍的展示及保护。3．本外观设计产品的设计要点：产品的整体外形。4．最能表明本外观设计设计要点的图片或照片：组合状态图。
"
							1068.橡皮擦（ZD‑0062）",外观设计 ,申请(专利权)人： 赖福树 ,分类号： 19-06(11) ,简要说明：1．本外观设计产品的名称：橡皮擦（ZD‑0062）。2．本外观设计产品的用途：本外观设计产品用于擦拭修改和刨削铅笔。3．本外观设计产品的设计要点：产品的整体外观形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．A部为透明材料。
"
							1069.机器人综合实训台（模块化SCARA）",外观设计 ,申请(专利权)人： 江苏哈工海渡工业机器人有限公司 ,分类号： 19-07(10) ,简要说明：1．本外观设计产品的名称：机器人综合实训台（模块化SCARA）；2．本外观设计产品的用途：本外观设计产品用于SCARA机器人的教学实训；3．本外观设计产品的设计要点：在于产品的整体形状；4．最能表明本外观设计设计要点的图片或照片：主视图；5．省略视图：仰视图无设计要点，故省略。
"
							1070.瓶贴（水溶C100‑柠檬）",外观设计 ,申请(专利权)人： 农夫山泉股份有限公司 ,分类号： 19-08(10) ,简要说明：1．本外观设计名称：瓶贴（水溶C100‑柠檬）。2．本外观设计的用途：用作标贴。3．本外观设计的设计要点：产品的图案和色彩的结合。4．最能表现设计要点的视图：主视图。5．请求保护的外观设计包含色彩。
"
							1071.玩具车（越野2）",外观设计 ,申请(专利权)人： 杜超 ,分类号： 21-01(10) ,简要说明：1．本外观设计产品的名称：玩具车（越野2）。2．本外观设计产品的用途：本外观设计产品用于供玩耍或者作为摆设。3．本外观设计产品的设计要点：整体形状、图案及其结合。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1072.手持式吸尘清洗两用枪",外观设计 ,申请(专利权)人： 王根冲 ,分类号： 22-01(10) ,简要说明：1．本外观设计产品的名称：手持式吸尘清洗两用枪。2．本外观设计产品的用途：本外观设计产品用于车辆及工件表面清洗。3．本外观设计产品的设计要点：该产品的外观形状。4．最能表明本外观设计设计要点的图片或照片：设计2立体图。5．省略视图：其它视图无设计要点，予以省略。6．指定基本设计：设计2。
"
							1073.三角阀各组件",外观设计 ,申请(专利权)人： 翁金星 ,分类号： 23-01(10) ,简要说明：1．本外观设计产品的名称：三角阀各组件。2．本外观设计产品的用途：本外观设计产品用于水暖配件。3．本外观设计产品的设计要点：设计要点在于主视图。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：组件2后视图、左视图、右视图与主视图相同，故省略后视图、左视图、右视图；组件3后视图、左视图、右视图与主视图相同，故省略后视图、左视图、右视图，组件3仰视图与俯视图相同，故省略仰视图。
"
							1074.止逆节水器",外观设计 ,申请(专利权)人： 蒋杰;许黎敏 ,分类号： 23-01(10) ,简要说明：1．本外观设计产品的名称：止逆节水器。2．本外观设计产品的用途：主要用于自来水管道，起到控制水流方向的作用。3．本外观设计的设计要点：整体形状。4．最能表明设计要点的图片或者照片：设计1立体图。5．本外观设计的设计1作为基本设计。
"
							1075.软密封蝶阀阀座",外观设计 ,申请(专利权)人： 天津富赛克流体控制设备有限公司 ,分类号： 23-01(10) ,简要说明：1．本外观设计产品的名称：软密封蝶阀阀座。2．本外观设计产品的用途：本外观设计产品用于液体的开关使用。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：设计1立体图。5．指定基本设计：设计1。
"
							1076.浴缸(0034)",外观设计 ,申请(专利权)人： 九牧厨卫股份有限公司 ,分类号： 23-02(10) ,简要说明：1．本外观设计产品的名称：浴缸(0034)。2．本外观设计产品的用途：本外观设计产品用于洗浴。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：设计1立体图。5．省略视图：设计1后视图与设计1主视图相同，省略设计1后视图；设计1右视图与设计1左视图对称，省略设计1右视图；设计1仰视图为不常见面，省略设计1仰视图。设计2后视图与设计2主视图相同，省略设计2后视图；设计2右视图与设计2左视图对称，省略设计2右视图；设计2仰视图为不常见面，省略设计2仰视图。6．指定基本设计：设计1。
"
							1077.抽油烟机（3503C‑18）",外观设计 ,申请(专利权)人： 广东奥特龙电器制造有限公司 ,分类号： 23-04(10) ,简要说明：1．本外观设计产品的名称：抽油烟机（3503C‑18）。2．本外观设计产品的用途：本外观设计产品用于将烹饪过程中产生油烟迅速抽走，排出室外。3．本外观设计产品的设计要点：产品整体形状。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							1078.静音风机",外观设计 ,申请(专利权)人： 李坚祥 ,分类号： 23-04(10) ,简要说明：1．本外观设计产品的名称：静音风机。2．本外观设计产品的用途：本外观设计产品用于鼓风机。3．本外观设计产品的设计要点：在产品的外形上。4．最能表明本外观设计设计要点的图片或照片：立体图2。
"
							1079.空调扇",外观设计 ,申请(专利权)人： 洪世荣 ,分类号： 23-04(10) ,简要说明：1．本外观设计产品的名称：空调扇。2．本外观设计产品的用途：本外观设计产品用于室内外的空气调节及润湿作用。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							1080.四通道脉冲治疗仪主机（AS2016)",外观设计 ,申请(专利权)人： 黎书鹏 ,分类号： 24-01(10) ,简要说明：1．本外观设计产品的名称：四通道脉冲治疗仪主机（AS2016)；2．本外观设计产品的用途：本外观设计产品用于医疗辅助按摩仪的操作控制；3．本外观设计产品的设计要点：产品的形状；4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							1081.免疫层析检测仪（单通道）",外观设计 ,申请(专利权)人： 海格德生物科技（深圳）有限公司 ,分类号： 24-01(11) ,简要说明：1．本外观设计产品的名称：免疫层析检测仪（单通道）。2．本外观设计产品的用途：本外观设计产品用于胶体金试纸的半定量或定量分析。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：仰视图无设计要点，故省略。
"
							1082.医疗检测仪手柄",外观设计 ,申请(专利权)人： 温州市鸿顺医疗科技有限公司 ,分类号： 24-01(11) ,简要说明：1．本外观设计产品的名称：医疗检测仪手柄。2．本外观设计产品的用途：本外观设计产品用于医疗检测仪的手持部分。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：设计1主视图。5．指定基本设计：设计1。
"
							1083.嵌入式综合开发系统实验箱",外观设计 ,申请(专利权)人： 重庆荣赫科技有限公司 ,分类号： 24-01(11) ,简要说明：1．本外观设计产品的名称：嵌入式综合开发系统实验箱。2．本外观设计产品的用途：本外观设计产品用于学校师生以及电子爱好者开发嵌入式技术。3．本外观设计产品的设计要点：在于产品的形状和图案。4．最能表明本外观设计设计要点的图片或照片：主视图。5．省略视图：其他视图无设计要点，故省略其它视图。
"
							1084.脚踏控制器（JTRF‑0）",外观设计 ,申请(专利权)人： 重庆西山科技股份有限公司 ,分类号： 24-01(11) ,"简要说明：1．本外观设计产品的名称：脚踏控制器（JTRF‑0）；2．本外观设计产品的用途：本外观设计产品用于射频电波刀系统中，实现对主机、执笔式手柄、消融手柄的控制；3．本外观设计产品的设计要点：本外观设计的形状；4．最能表明本外观设计设计要点的图片或照片：立体图；5．省略视图：仰视图为不易见部位,省略仰视图。"
"
							1085.内窥镜（手持操作部分）",外观设计 ,申请(专利权)人： 闵航 ,分类号： 24-02(10) ,简要说明：1．本外观设计产品的名称：内窥镜（手持操作部分）。2．本外观设计产品的用途：本外观设计产品用于内窥镜手持操作部分，用于操控摄像端探测被物体挡住视野的地方。3．本外观设计产品的设计要点：色彩与形状、图案的结合。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：无。6．请求保护的外观设计包含色彩。
"
							1086.单极刀头（RFDQQ）",外观设计 ,申请(专利权)人： 重庆西山科技股份有限公司 ,分类号： 24-02(11) ,简要说明：1．本外观设计产品的名称：单极刀头（RFDQQ）；2．本外观设计产品的用途：本外观设计产品用于电外科开放式手术或其他适用电外科手术中的切割操作；3．本外观设计产品的设计要点：本外观设计的形状；4．最能表明本外观设计设计要点的图片或照片：主视图；5．省略视图：后视图与主视图对称，省略后视图；仰视图与俯视图相同，省略仰视图。
"
							1087.智能门",外观设计 ,申请(专利权)人： 宁波美必盛自动门有限公司 ,分类号： 25-02(10) ,简要说明：1．本外观设计产品的名称：智能门。2．本外观设计产品的用途：本外观设计产品用于安装在门框内的自动门。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1088.铝合金压边花箱",外观设计 ,申请(专利权)人： 安徽朗汀园林绿化工程服务有限公司 ,分类号： 25-02(10) ,简要说明：1．本外观设计产品的名称：铝合金压边花箱;2．本外观设计产品的用途：本外观设计产品用于盛装花卉；3．本外观设计产品的设计要点：产品的形状；4．最能表明本外观设计设计要点的图片或照片：主视图；5．省略视图：其它附图无设计要点，故省略。
"
							1089.喇叭声响台灯",外观设计 ,申请(专利权)人： 东莞市杰伦塑胶灯饰有限公司 ,分类号： 26-05(10) ,简要说明：1．本外观设计产品的名称：喇叭声响台灯。2．本外观设计产品的用途：本外观设计产品用于照明。3．本外观设计产品的设计要点：产品的整体形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1090.造型灯具",外观设计 ,申请(专利权)人： 十聿（上海）照明设计有限公司 ,分类号： 26-05(10) ,简要说明：1．本外观设计产品的名称：造型灯具。2．本外观设计产品的用途：本外观设计产品用于照明。3．本外观设计产品的设计要点：本外观设计产品的设计要点在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：设计1主视图。5．指定基本设计：设计1为基本设计。
"
							1091.防水LED成像灯",外观设计 ,申请(专利权)人： 广州南艺灯光音响实业有限公司 ,分类号： 26-05(10) ,简要说明：1．本外观设计产品的名称：防水LED成像灯；2．本外观设计产品的用途：本外观设计产品用于可使用于舞台等演出场所；3．本外观设计产品的设计要点：在于产品的形状；4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1092.风梳（RC‑7501）",外观设计 ,申请(专利权)人： 上海雷瓦电器有限公司 ,分类号： 28-03(10) ,简要说明：1.产品名称：风梳（RC‑7501）。2.外观设计产品的用途：梳理头发。3.外观设计的设计要点：产品的整体形状。4.最能体现设计特点的是立体图1。
"
							1093.硅胶洗澡按摩刷",外观设计 ,申请(专利权)人： 梵高乐贸易（深圳）有限公司 ,分类号： 28-03(11) ,简要说明：1．本外观设计产品的名称：硅胶洗澡按摩刷。2．本外观设计产品的用途：本外观设计产品用于沐浴。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1094.推脂按摩器",外观设计 ,申请(专利权)人： 杨忠义 ,分类号： 28-03(10) ,简要说明：1．本外观设计产品的名称：推脂按摩器。2．本外观设计产品的用途：本外观设计产品用于对人体进行按摩推脂的仪器。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：设计1立体图。5．本外观设计产品为相似外观设计，包括设计1和设计2，指定基本设计为设计1。
"
							1095.电推剪（S2）",外观设计 ,申请(专利权)人： 蒋琦 ,分类号： 28-03(10) ,简要说明：1、本外观设计产品的名称：电推剪(S2)。2、本外观设计产品的用途：主要用于人理发或者宠物剃毛。3、本外观设计的设计要点：在于产品的形状。4、最能表明设计要点的图片或者照片：立体图。
"
							1096.太阳能壁挂化妆镜",外观设计 ,申请(专利权)人： 温州市绿意卫浴五金有限公司 ,分类号： 28-03(11);26-05(11) ,简要说明：1．本外观设计产品的名称：太阳能壁挂化妆镜。2．本外观设计产品的用途：本外观设计产品用于照明及用于镜子。3．本外观设计产品的设计要点：产品的形状、结构。4．最能表明本外观设计设计要点的图片或照片：立体图。5．请求保护的外观设计镜子的周测一圈是发光灯管。
"
							1097.便携式感应化妆镜",外观设计 ,申请(专利权)人： 温州市绿意卫浴五金有限公司 ,分类号： 28-03(11);26-05(11) ,简要说明：1．本外观设计产品的名称：便携式感应化妆镜。2．本外观设计产品的用途：本外观设计产品用于照明及用于镜子。3．本外观设计产品的设计要点：产品的形状、结构。4．最能表明本外观设计设计要点的图片或照片：立体图1。5．省略视图：由于左视图与右视图对称，故省略右视图。6．请求保护的外观设计镜子的周测一圈是发光灯管。
"
							1098.冲奶机",外观设计 ,申请(专利权)人： 深圳市鼎品电器有限公司 ,分类号： 31-00(10) ,简要说明：1．本外观设计产品的名称：冲奶机。2．本外观设计产品的用途：本外观设计产品用于冲泡奶。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1099.涂装板（T-红宝石）",外观设计 ,申请(专利权)人： 泰山石膏股份有限公司 ,分类号： 25-01(10) ,简要说明：1．本外观设计产品的名称：涂装板（T‑红宝石）。2．本外观设计产品的用途：本外观设计产品用于建筑装饰领域，用于室内吊顶装修。3．本外观设计产品的设计要点：在于图案。4．最能表明本外观设计设计要点的图片或照片：主视图。5．省略视图：该产品为板状结构，其他侧面无设计要点，故省略后视图，左视图、右视图、俯视图和仰视图。
"
							1100.涂装板（T-绿竹）",外观设计 ,申请(专利权)人： 泰山石膏股份有限公司 ,分类号： 25-01(10) ,简要说明：1．本外观设计产品的名称：涂装板（T‑绿竹）。2．本外观设计产品的用途：本外观设计产品用于建筑装饰领域，用于室内吊顶装修。3．本外观设计产品的设计要点：在于图案。4．最能表明本外观设计设计要点的图片或照片：主视图。5．省略视图：该产品为板状结构，其他侧面无设计要点，故省略后视图，左视图、右视图、俯视图和仰视图。
"
							1101.鞋(一)",外观设计 ,申请(专利权)人： 王永建 ,分类号： 02-04(10) ,"简要说明：1．本外观设计产品的名称：鞋(一),2．本外观设计产品的用途：本外观设计产品用于人穿着的鞋子，3．本外观设计产品的设计要点：在于产品的造型特征，4．最能表明本外观设计设计要点的图片或照片：立体图。"
"
							1102.鞋(二)",外观设计 ,申请(专利权)人： 王永建 ,分类号： 02-04(10) ,简要说明：1．本外观设计产品的名称：鞋(二)，2．本外观设计产品的用途：本外观设计产品用于人穿着的鞋子，3．本外观设计产品的设计要点：在于产品的外部造型及特征，4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1103.鞋(低帮)",外观设计 ,申请(专利权)人： 王永建 ,分类号： 02-04(10) ,简要说明：1．本外观设计产品的名称：鞋(低帮)，2．本外观设计产品的用途：本外观设计产品用于人穿着的鞋子，3．本外观设计产品的设计要点：在于产品的外部造型及特征，4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1104.鞋",外观设计 ,申请(专利权)人： 阿迪达斯有限公司 ,分类号： 02-04(10) ,简要说明：1．本外观设计产品的名称：鞋。2．本外观设计产品的用途：本外观设计产品用于穿在脚上。3．本外观设计产品的设计要点：在于鞋面的图案。4．最能表明本外观设计设计要点的图片或照片：主视图。5．省略视图：右视图、俯视图、仰视图。
"
							1105.鞋底（五）",外观设计 ,申请(专利权)人： 布拉木塔（厦门）贸易有限公司 ,分类号： 02-04(10) ,简要说明：1．本外观设计产品的名称：鞋底（五）。2．本外观设计产品的用途：本外观设计产品用于作为鞋子的鞋底。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1106.鞋底（一）",外观设计 ,申请(专利权)人： 布拉木塔（厦门）贸易有限公司 ,分类号： 02-04(10) ,简要说明：1．本外观设计产品的名称：鞋底（一）。2．本外观设计产品的用途：本外观设计产品用于作为鞋子的鞋底。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1107.包",外观设计 ,申请(专利权)人： 埃利特箱包有限公司 ,分类号： 03-01(11) ,简要说明：1．本外观设计产品的名称：包。2．本外观设计产品的用途：本外观设计产品用于装物品。3．本外观设计产品的设计要点：整体外形设计。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							1108.钻枪（2）",外观设计 ,申请(专利权)人： 陈仕峰 ,分类号： 08-04(11) ,简要说明：1、外观设计产品的名称：钻枪(2)。2、外观设计产品的用途：用于拧紧和旋松螺钉用的电动工具。3、外观设计的设计要点：各视图外观形状。4、立体图用于出版专利公告。
"
							1109.开关",外观设计 ,申请(专利权)人： 瑞飞尔系统有限公司 ,分类号： 13-03(10) ,简要说明：1．本外观设计产品的名称：开关。2．本外观设计产品的用途：本外观设计产品用作开关。3．本外观设计产品的设计要点：如图所示的形状和图案特征。4．最能表明本外观设计设计要点的图片或照片：设计1立体图。5．指定基本设计：设计1。
"
							1110.笔（756）",外观设计 ,申请(专利权)人： 林斌 ,分类号： 19-06(11) ,简要说明：1．本外观设计产品的名称：笔（756）；2．本外观设计产品的用途：本外观设计产品用于书写文字；3．本外观设计产品的设计要点：在于产品的形状，尤其在于握笔皮圈处的设计；4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							1111.手套（C）",外观设计 ,申请(专利权)人： 广东指护户外装备科技有限公司 ,分类号： 02-06(11) ,简要说明：1．本外观设计产品的名称：手套（C）。2．本外观设计产品的用途：本外观设计产品用于一种户外运动型防护手套。3．本外观设计产品的设计要点：在于产品整体形状、图案及其结合。4．最能表明本外观设计设计要点的图片或照片：立体图1。5．省略视图：俯视图、仰视图为不常见视图，故省略俯视图、仰视图。
"
							1112.座椅",外观设计 ,申请(专利权)人： 河北帅康座椅有限公司 ,分类号： 06-01(10) ,简要说明：1．本外观设计产品的名称：座椅；2．本外观设计产品的用途：本外观设计产品用于供人坐靠休息；3．本外观设计产品的设计要点：在于产品的形状、图案以及形状和图案的结合；4．最能表明本外观设计设计要点的图片或照片：立体图；5．省略视图：仰视图为不常见面，故省略仰视图。
"
							1113.休闲椅（201701）",外观设计 ,申请(专利权)人： 徐国芳 ,分类号： 06-01(11) ,简要说明：1．本外观设计产品的名称：休闲椅（201701）。2．本外观设计产品的用途：本外观设计产品用于供人休息的家具。3．本外观设计产品的设计要点：设计要点在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：左视图与右视图对称，省略左视图；仰视图不常见，省略仰视图；省略俯视图。
"
							1114.餐椅（PCY‑01）",外观设计 ,申请(专利权)人： 徐国芳 ,分类号： 06-01(11) ,简要说明：1．本外观设计产品的名称：餐椅（PCY‑01）。2．本外观设计产品的用途：本外观设计产品用于供人休息的家具。3．本外观设计产品的设计要点：设计要点在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：仰视图不常见，省略仰视图。
"
							1115.茶几（PC‑05）",外观设计 ,申请(专利权)人： 徐国芳 ,分类号： 06-03(11) ,简要说明：1．本外观设计产品的名称：茶几（PC‑05）。2．本外观设计产品的用途：本外观设计产品用于摆放物品的家具。3．本外观设计产品的设计要点：设计要点在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：仰视图不常见，省略仰视图。
"
							1116.茶几（瑞特）",外观设计 ,申请(专利权)人： 徐国芳 ,分类号： 06-03(11) ,简要说明：1．本外观设计产品的名称：茶几（瑞特）。2．本外观设计产品的用途：本外观设计产品用于放置物品。3．本外观设计产品的设计要点：设计要点在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：仰视图为不常见，省略仰视图。
"
							1117.家具（双盆柜026）",外观设计 ,申请(专利权)人： 深圳市天工之作家俬有限公司 ,分类号： 06-04(11) ,简要说明：1．本外观设计产品的名称：家具（双盆柜026）。2．本外观设计产品的用途：本外观设计产品是一款家具用品。3．本外观设计产品的设计要点：在于产品的整体外形设计。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：后视图无设计要点，故省略后视图。
"
							1118.衣架（PYJ‑03）",外观设计 ,申请(专利权)人： 徐国芳 ,分类号： 06-06(11) ,简要说明：1．本外观设计产品的名称：衣架（PYJ‑03）。2．本外观设计产品的用途：本外观设计产品用于室内供挂放衣物用的家具。3．本外观设计产品的设计要点：设计要点在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：仰视图为不常见，省略仰视图。
